raceId,driverId,constructorId,statusId,circuitId,date,driverRef,number,code,constructorRef,circuitRef,lap,position_x,time,position_y,status,position
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,44,19,0 days 00:01:30.752000,6,Finished,19
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,45,19,0 days 00:01:31.286000,6,Finished,19
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,46,18,0 days 00:01:31.080000,6,Finished,18
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,47,18,0 days 00:01:31.641000,6,Finished,18
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,48,17,0 days 00:01:31.828000,6,Finished,17
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,49,17,0 days 00:01:31.950000,6,Finished,17
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,50,17,0 days 00:01:32.375000,6,Finished,17
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,51,17,0 days 00:01:32.849000,6,Finished,17
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,52,17,0 days 00:01:33.862000,6,Finished,17
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,53,16,0 days 00:01:32.610000,6,Finished,16
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,54,15,0 days 00:01:31.932000,6,Finished,15
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,55,15,0 days 00:01:31.665000,6,Finished,15
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,56,15,0 days 00:01:32.054000,6,Finished,15
1126,857,1,1,79,2024-05-05,piastri,81,PIA,mclaren,miami,57,14,0 days 00:01:32.150000,6,Finished,14
1126,830,9,1,79,2024-05-05,max_verstappen,33,VER,red_bull,miami,1,1,0 days 00:01:34.338000,1,Finished,1
